model;pl_score;pl_answers;Coding;Extraction;Humanities;Math;Reasoning;Roleplay;STEM;Writing
Bielik-11B-v2.0-Instruct;7.56;1.0;5.6;8.65;9.425;5.5;6.05;7.75;8.775;8.75
Bielik-11B-v2.1-Instruct;8.0;1.0;5.4;9.125;9.2;6.15;6.25;9.45;8.9;9.5
Bielik-11B-v2.2-Instruct;8.12;1.0;5.05;9.3;9.4;6.45;6.9;9.025;9.45;9.35
Bielik-11B-v2.3-Instruct;8.56;1.0;6.25;9.43;9.5;7.7;8.35;8.75;8.975;9.5
Bielik-7B-Instruct-v0.1;5.4;0.89;3.0;4.35;8.475;4.1;6.15;7.825;6.9;7.85
Gemma-2-27b-it;8.62;1.0;7.45;9.6;10.0;7.8;6.85;8.7;9.8;8.75
Meta-Llama-3.1-405B-Instruct;8.17;1.0;7.25;9.85;9.65;6.25;5.8;8.7;8.65;9.2
Meta-Llama-3.1-70B-Instruct;8.15;1.0;6.25;9.85;9.5;6.0;6.15;8.8;9.55;9.1
Meta-Llama-3.1-8B-Instruct;6.24;1.0;4.6;9.1;8.825;5.3;2.5;5.6;6.3;7.7
Mistral-7B-Instruct-v0.2;2.05;0.31;4.25;7.4;8.4;3.2;5.0;8.65;7.85;7.7
Mistral-7B-Instruct-v0.3;5.75;0.98;4.3;7.3;6.75;2.35;3.8;7.25;7.45;7.35
Mistral-Large-Instruct-2407;8.66;1.0;6.75;9.9;9.4;7.8;8.7;8.7;9.35;8.7
Mistral-Nemo-Instruct-2407;7.37;1.0;5.85;8.95;9.5;6.7;5.8;7.45;8.3;6.4
Mixtral-8x22b;8.23;1.0;6.45;9.55;9.1;6.9;6.3;9.05;9.25;9.25
Mixtral-8x7b;7.64;1.0;5.2;8.15;9.45;5.65;5.8;8.95;8.55;9.35
Polka-Mistral-7B-SFT;4.43; 0.98 ;2.95;5.25;5.6;2.95;2.45;4.9;6.8;5.25
Qwen2-72B-Instruct;8.78;1.0;7.8;9.8;9.75;6.5;8.85;9.2;9.55;8.75
Starling-LM-7B-alpha;6.05;0.93;4.75;7.35;8.5;4.15;3.9;6.9;8.85;7.55
dolphin-2.9.1-llama-3-8b;5.24;0.89;4.6;6.15;8.8;4.8;3.3;7.4;6.35;5.5
gpt-3.5-turbo;7.72;0.98;6.0;8.15;9.75;6.85;5.2;8.65;9.25;9.1
openchat-3.5-0106;6.03;0.94;5.05;6.9;9.3;3.8;3.9;6.0;8.4;7.75
openchat-3.5-0106-gemma;6.51;0.96;5.35;6.9;8.8;4.55;5.4;7.975;8.475;7.05
trurl-2-7b;2.75; 0.99;1.8;3.5;3.95;1.7;2.05;3.3;2.65;3.15
aya-expanse-8b;7.7625;1.0;4.9;8.05;9.65;4.35;6.85;9.25;9.75;9.30
